#TYPE System.Management.Automation.PSCustomObject
"Count","Computer"
"0","A602B-01WC56222"
"0","A602B-02WC56239"
"0","A602B-03WC56516"
"0","A606-01WC52456"
"0","A607-01WC52426"
"0","AW1-02WC53900"
"0","BC118-01WL55358"
"0","BC118-02WL55343"
"0","BC118-03WL55344"
"0","BC118-04WL55345"
"0","BC118-05WL55346"
"0","BC118-06WL55347"
"0","BC118-07WL55348"
"0","BC118-08WL55349"
"0","BC118-09WL54350"
"0","BC118-10WL55351"
"0","BC118-11WL55352"
"0","BC118-12WL55353"
"0","BC118-13WL55354"
"0","BC118-14WL55355"
"0","BC118-15WL55356"
"0","BC118-16WL55357"
