#TYPE System.Management.Automation.PSCustomObject
"Count","Computer"
"0","A602B-01WC56222"
"0","A602B-02WC56239"
"0","A602B-03WC56516"
"0","A606-01WC52456"
"0","A607-01WC52426"
"0","AW1-02WC53900"
"0","BC118-01WL55358"
"0","BC118-02WL55343"
"0","BC118-03WL55344"
"0","BC118-04WL55345"
"0","BC118-05WL55346"
"0","BC118-06WL55347"
"0","BC118-07WL55348"
"0","BC118-08WL55349"
"0","BC118-09WL54350"
"0","BC118-10WL55351"
"0","BC118-11WL55352"
"0","BC118-12WL55353"
"0","BC118-13WL55354"
"0","BC118-14WL55355"
"0","BC118-15WL55356"
"0","BC118-16WL55357"
"0","BCHLL-02WL17967"
"0","BCHLL-03WL17571"
"0","BCNS1-01WL55342"
"0","BH101-01WL52610"
"0","BH101-02WL52644"
"0","BH101-03WL52646"
"0","BH101-04WL52643"
"0","BH101-05WL52645"
"0","BH101-06WL52656"
"0","BH101-07WL52652"
"0","BH101-08WL52648"
"0","BH101-09WL52641"
"0","BH101-10WL52640"
"0","BH101-11WL52638"
"0","BH101-12WL52639"
"0","BH101-13WL52642"
"3","BH101-14WL52637"
"0","BH101-15WL52650"
"0","BH101-16WL52649"
"0","BH101-17WL52647"
"0","BH101-18WL52629"
"0","BH101-19WL52633"
"0","BH101-20WL52635"
"0","BH101-21WL52636"
"0","BH101-22WL52658"
"0","BH101-23WL52654"
"0","BH101-24WL52655"
"0","BH101-25WL52659"
"0","BH101-26WL52651"
"0","BH101-27WL52450"
"0","BH101-28WL52657"
"0","BH101-29WL52653"
"0","BH101-30WL52634"
"0","BH101-31WL52632"
"0","BH101-32WL52630"
"0","BH101-33WL52631"
"0","BH113-01WC52416"
"0","BH126-01WC52481"
"0","BH128-01WC52479"
"0","BH129-01WC52480"
"0","BH130-01WC52467"
"0","BH132-01WC52466"
"0","BH133-01WC52469"
"0","BH134-01WC52468"
"0","BH201-01WC52471"
"0","BH215-01WC52472"
"0","BH222-01WC52473"
"0","BH223-01WC52470"
"0","BH225-01WC52465"
"0","BH226-01WC52464"
"0","BH227-01WC52463"
"0","BH228-01WC52451"
"0","BH229-01WC52452"
"0","BH230-01WC52455"
"0","BH231-01WC52449"
"0","CS07-01WW50480"
"0","CSS-01WL54890"
"0","CSS-02WL54891"
"0","CSS-03WL54892"
"0","CSS-04WL54893"
"0","CSS-05WL54894"
"0","CSS-06WL54895"
"0","CSS-07WL54896"
"0","CSS-08WL54897"
"0","DSS01-01WL52591"
"0","DSS01-02WL52589"
"0","DSS5-01WL52418"
"0","DSSGU-01WL52588"
"0","DSSGU-02WL52585"
"0","DSSTC-02WL52424"
"0","E113-01WC52454"
"0","E114-01WC52453"
"0","E115-01WC52448"
"0","E116-01WC52478"
"0","E117-01WC52797"
"0","E118-01WC52798"
"0","E120-01WC52474"
"0","E122-01WC52488"
"0","E123-01WC51900"
"0","E127A-02WL50909"
"0","E127A-03WL50835"
"0","E128-01WC52799"
"0","E137-01WL53558"
"0","E137-02WL53559"
"0","E137-03WL53650"
"0","E137-04WL53561"
"0","E137-05WL53562"
"0","E137-06WL53563"
"0","E137-07WL53564"
"0","E137-08WL53565"
"0","E137-09WL53566"
"0","E137-10WL53610"
"0","E143-02WL53166"
"0","E143-03WL53165"
"0","E143-04WL53070"
"0","E147A-01WL51709"
"0","E147A-02WL51710"
"0","E147A-03WL51711"
"0","E147A-05WL51713"
"0","E147A-06WL51714"
"0","E149A-01WL17810"
"0","E150-01WL50935"
"0","E153A-WL51536"
"0","E153A-WL51537"
"0","E153A-WL51538"
"0","E153A-WL51539"
"0","E153B-01WL51546"
"0","E153B-06WL51907"
"0","E153B-07WL51908"
"0","E153B-07WL51909"
"0","E153B-08WL51905"
"0","E153B-10WL51549"
"0","E153B-13WL51551"
"0","E153B-14WL51545"
"0","E156-01WL56352"
"0","E156-02WL56391"
"0","E156-03WL56395"
"0","E156-05WL56380"
"0","E156-06WL56378"
"0","E156-07WL56389"
"0","E156-08WL56356"
"0","E156-09WL56386"
"0","E156-10WL56396"
"0","E156-11WL56392"
"0","E156-12WL56393"
"0","E156-13WL56384"
"0","E156-15WL56387"
"0","E156-16WL56379"
"0","E156-17WL56368"
"0","E156-18WL56374"
"0","E156-19WL56388"
"0","E156-20WL56385"
"0","E156-21WL56377"
"0","E156-22WL56375"
"0","E156-23WL56359"
"0","E156-24WL56390"
"0","E156-25WL56376"
"6","E156-26WL56381"
"8","E156-27WL56373"
"0","E156-28WL56382"
"0","E156-29WL56367"
"0","E209-01WL50887"
"0","E210-01WC52505"
"0","E211-01WC52477"
"0","E214-01WC52475"
"0","E215-01WC52476"
"0","E232-01WL54847"
"0","E232-02WL54859"
"0","E234-01WL50941"
"0","E234A-01WL50914"
"0","E234A-02WL50880"
"0","E235-01WL54871"
"0","E235-02WL54869"
"0","E235-03WL54872"
"0","E235-04WL54853"
