MACAddress,UNCPath,Default
E8-5B-5B-74-45-52,\\wlb-print-03.monmouth.edu\bookstore_2,Y
00-1F-BC-0E-3D-1E,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0B-F3-71,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0B-F3-72,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0B-F3-73,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0B-F3-74,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0B-F3-75,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0B-F3-76,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0B-F3-77,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-C6,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-C7,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-C9,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-CA,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-CB,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-CC,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-E0,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-E1,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-E2,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
00-30-04-0C-44-E4,\\wlb-print-03.monmouth.edu\LAB_HH208_1,Y
E8-5B-5B-71-AF-67,\\wlb-print-03.monmouth.edu\LAB_JP1FL_1,Y
E8-5B-5B-71-AF-76,\\wlb-print-03.monmouth.edu\LAB_JP1FL_1,Y
E8-5B-5B-71-B2-95,\\wlb-print-03.monmouth.edu\LAB_JP1FL_1,Y
00:17:EB:EE:04:BA,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:DF:2F:78,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:E0:4C:BA,\\wlb-print-03.monmouth.edu\LAB_Library_1a,Y
84:7E:40:E0:4C:F0,\\wlb-print-03.monmouth.edu\LAB_Library_1a,Y
84:7E:40:E0:77:90,\\wlb-print-03.monmouth.edu\LAB_Library_1a,Y
84:7E:40:E0:77:9C,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:E0:77:CC,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:E1:23:A0,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:E1:44:36,\\wlb-print-03.monmouth.edu\LAB_Library_1a,Y
84:7E:40:E1:89:80,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:E1:89:DE,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:E1:D5:C2,\\wlb-print-03.monmouth.edu\LAB_Library_1a,Y
84:7E:40:E2:30:C8,\\wlb-print-03.monmouth.edu\LAB_Library_1a,Y
84:7E:40:EC:DC:18,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:EC:DC:2E,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:EC:E9:0E,\\wlb-print-03.monmouth.edu\LAB_Library_1a,Y
84:7E:40:EC:E9:24,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:EC:E9:2E,\\wlb-print-03.monmouth.edu\LAB_Library_1a,Y
84:7E:40:ED:25:7A,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:3F:FE,\\wlb-print-03.monmouth.edu\LAB_Library_1a,Y
84:7E:40:ED:4C:9E,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:53:5A,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:58:5C,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:58:7A,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:65:C2,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:78:04,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:78:54,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:7E:56,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:9E:6E,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:ED:D6:52,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
84:7E:40:EE:8E:B4,\\wlb-print-03.monmouth.edu\LAB_Library_1a,N
00:17:EB:EE:04:BA,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:DF:2F:78,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E0:4C:BA,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E0:4C:F0,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E0:77:90,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E0:77:9C,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E0:77:CC,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E1:23:A0,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E1:44:36,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E1:89:80,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E1:89:DE,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E1:D5:C2,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:E2:30:C8,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:EC:DC:18,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:EC:DC:2E,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:EC:E9:0E,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:EC:E9:24,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:EC:E9:2E,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:25:7A,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:3F:FE,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:4C:9E,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:53:5A,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:58:5C,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:58:7A,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:65:C2,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:78:04,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:78:54,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:7E:56,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:9E:6E,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:ED:D6:52,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
84:7E:40:EE:8E:B4,\\wlb-print-03.monmouth.edu\LAB_Library_2,N
00:17:EB:EE:04:BA,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:DF:2F:78,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E0:4C:BA,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E0:4C:F0,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E0:77:90,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E0:77:9C,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E0:77:CC,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E1:23:A0,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E1:44:36,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E1:89:80,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E1:89:DE,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E1:D5:C2,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:E2:30:C8,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:EC:DC:18,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:EC:DC:2E,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:EC:E9:0E,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:EC:E9:24,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:EC:E9:2E,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:25:7A,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:3F:FE,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:4C:9E,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:53:5A,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:58:5C,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:58:7A,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:65:C2,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:78:04,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:78:54,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:7E:56,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:9E:6E,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:ED:D6:52,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
84:7E:40:EE:8E:B4,\\wlb-print-03.monmouth.edu\LAB_Library_3a,N
00:17:EB:EE:04:BA,\\wlb-print-03.monmouth.edu\LAB_Library_4a,Y
84:7E:40:DF:2F:78,\\wlb-print-03.monmouth.edu\LAB_Library_4a,Y
84:7E:40:E0:4C:BA,\\wlb-print-03.monmouth.edu\LAB_Library_4a,N
84:7E:40:E0:4C:F0,\\wlb-print-03.monmouth.edu\LAB_Library_4a,N
84:7E:40:E0:77:90,\\wlb-print-03.monmouth.edu\LAB_Library_4a,N
84:7E:40:E0:77:9C,\\wlb-print-03.monmouth.edu\LAB_Library_4a,Y
84:7E:40:E0:77:CC,\\wlb-print-03.monmouth.edu\LAB_Library_4a,Y
84:7E:40:E1:23:A0,\\wlb-print-03.monmouth.edu\LAB_Library_4a,Y
84:7E:40:E1:44:36,\\wlb-print-03.monmouth.edu\LAB_Library_4a,N
