#TYPE System.Management.Automation.PSCustomObject
"OU","Printer"
"BCH Lower Level","\\wlb-print-03\LAB_Honors_1"
"Honors Lab","\\wlb-print-03\LAB_Honors_2"
"BH101","\\wlb-print-03\LAB_BH101_1"
"BC Nurses Station","\\wlb-print-03\LAB_BH101_1"
"Classrooms","\\wlb-print-01\business_2"
"Classrooms",""
"Classrooms","'"
"Classrooms","--special"
"Classrooms","--uses"
"Classrooms","item-level"
"Classrooms","targeting"
"E118","\\wlb-print-03\LAB_E137_1"
"E137","\\wlb-print-03\LAB_E137_2"
"E143","\\wlb-print-03\LAB_E143_1"
"E147A","\\wlb-print-03\LAB_E147a_1"
"E149B","\\wlb-print-03\LAB_E149B_1"
"E150","\\wlb-print-03\LAB_E150_1"
"E153A","\\wlb-print-03\LAB_E153a_1"
"E153B","\\wlb-print-03\LAB_E153B_1"
"E156","\\wlb-print-03\LAB_E156_1"
"E18","\\wlb-print-03\LAB_e18_1"
"E19","\\wlb-print-03\LAB_E19_1"
"E211","\\wlb-print-03\Biology_1"
"E211","\\wlb-print-03\Biology_2"
"E232","\\wlb-print-03\LAB_E232_1"
"E232","\\WLB-PRINT-03\LAB_E235_1"
"E232","\\wlb-print-03\LAB_E236_2"
"E235","\\wlb-print-03\LAB_E235_1"
"E235","\\wlb-print-03\LAB_E237_1"
"E236","\\wlb-print-03\LAB_E236_2"
"E236","\\wlb-print-03\LAB_E235_1"
"E237","\\wlb-print-03\LAB_E237_1"
"E238","\\wlb-print-03\LAB_E238_1"
"E238A","\\wlb-print-03\LAB_E238A_1"
"EOF","\\wlb-print-03\LAB_EOF_1"
"HH101A","\\wlb-print-03\Psychology_6"
"HH101B","\\wlb-print-03\Psychology_7"
"HH103A","\\wlb-print-03\LAB_HH103A_1"
"HH106","\\wlb-print-03\LAB_HH106_1"
"HH106A","\\wlb-print-03\LAB_HH106A_1"
"HH106B","\\wlb-print-03\LAB_HH106B_1"
"HH111","\\wlb-print-03\LAB_HH111_POOL"
"HH124","\\wlb-print-03\Psychology_1"
"HH124","\\wlb-print-03\Psychology_2"
"HH201","\\wlb-print-03\Math_3"
"HH201","\\wlb-print-03\Math_2"
"HH201","\\wlb-print-03\Math_1"
"HH203","\\wlb-print-03\LAB_HH203_1"
"HH206","\\wlb-print-03\Chemistry_3"
"HH206","\\wlb-print-03\Chemistry_2"
"HH206","\\wlb-print-03\Chemistry_1"
"HH207","\\wlb-print-03\LAB_HH207_1"
"HH212","\\wlb-print-03\LAB_HH212_1"
"HH216","\\Wlb-print-03\LAB_HH216_1"
"HH216","\\wlb-print-03\ComputerScience_1"
"HH216","\\wlb-print-03\ComputerScience_2"
"HH216","\\wlb-print-03\ComputerScience_3"
"HH223","\\wlb-print-03\ComputerScience_1"
"HH223","\\wlb-print-03\ComputerScience_2"
"HH223","\\wlb-print-03\ComputerScience_3"
"HH251","\\wlb-print-03\Math_4"
"HH306","\\wlb-print-03\LAB_HH306_1"
"HH306","\\wlb-print-03\LAB_HH306_3"
"HH306","\\wlb-print-03\LAB_HH306_2"
"HH307","\\wlb-print-03\LAB_HH307_1"
"HH308","\\wlb-print-03\LAB_HH308_1"
"HH309","\\wlb-print-03\LAB_HH309_1"
"HH328","\\wlb-print-03\History_2"
"HH349","\\wlb-print-03\History_2"
"Laurel Hall","\\wlb-print-03\Training_1"
"JP113","\\wlb-print-03\ForeignLanguage_1"
"JP125","\\wlb-print-03\ForeignLanguage_1"
"Basement Lab","\\wlb-print-03\LAB_Library_2"
"Basement Lab","\\wlb-print-03\LAB_Library_1a"
"Basement Lab","\\wlb-print-03\LAB_Library_3a"
"Basement Lab","\\wlb-print-03\LAB_Library_4a"
"Library 1st Floor","\\wlb-print-03\LAB_Library_3a"
"Library 1st Floor","\\wlb-print-03\LAB_Library_1a"
"Library 1st Floor","\\wlb-print-03\LAB_Library_2"
"Library 1st Floor","\\wlb-print-03\LAB_Library_4a"
"Library 2fl","\\wlb-print-03\LAB_Library_4a"
"Library 2fl","\\wlb-print-03\LAB_Library_1a"
"Library 2fl","\\wlb-print-03\LAB_Library_2"
"Library 2fl","\\wlb-print-03\LAB_Library_3a"
"Library 2fl","'item"
"Library 2fl","level"
"Library 2fl","on"
"Library 2fl","library_10"
"Library Athletics Lab","\\wlb-print-03\LAB_Athletics_1A"
"Library Athletics Lab","\\wlb-print-03\LAB_Library_5"
"Library Athletics Lab","\\wlb-print-03\LAB_Library_2"
"Library Athletics Lab","\\wlb-print-03\LAB_Library_10"
"Library Loaner Laptops","\\wlb-print-03\LAB_Library_3a"
"Library Loaner Laptops","\\wlb-print-03\LAB_Library_1a"
"Library Loaner Laptops","\\wlb-print-03\LAB_Library_2"
"Library Loaner Laptops","\\wlb-print-03\LAB_Library_4a"
"Medicat Laptops","\\wlb-print-03\Healthcenter_1"
"Reference Area A","\\wlb-print-03\LAB_Library_3a"
"Reference Area A","\\wlb-print-03\LAB_Library_1a"
"Reference Area A","\\wlb-print-03\LAB_Library_2"
"Reference Area A","\\wlb-print-03\LAB_Library_4a"
"Reference Area B","\\wlb-print-03\LAB_Library_3a"
"Reference Area B","\\wlb-print-03\LAB_Library_1a"
"Reference Area B","\\wlb-print-03\LAB_Library_2"
"Reference Area B","\\wlb-print-03\LAB_Library_4a"
"Reference Area C","\\wlb-print-03\LAB_Library_1a"
"Reference Area C","\\wlb-print-03\LAB_Library_2"
"Reference Area C","\\wlb-print-03\LAB_Library_3a"
"Reference Area C","\\wlb-print-03\LAB_Library_4a"
"Reference Area D","\\wlb-print-03\LAB_Library_1a"
"Reference Area D","\\wlb-print-03\LAB_Library_4a"
"Reference Area D","\\wlb-print-03\LAB_Library_2"
"Reference Area D","\\wlb-print-03\LAB_Library_3a"
"Reference Area E","\\wlb-print-03\LAB_Library_1a"
"Reference Area E","\\wlb-print-03\LAB_Library_2"
"Reference Area E","\\wlb-print-03\LAB_Library_3a"
"Reference Area E","\\wlb-print-03\LAB_Library_4a"
"Library Reference Desk","\\wlb-print-03\Library_9		'Added"
"Library Reference Desk","by"
"Library Reference Desk","JF"
"Library Reference Desk","#00124047"
"MAC117","\\wlb-print-03\LAB_MAC_117_1"
"MAC164","\\wlb-print-03\LAB_MAC172_1"
"MAC164","\\wlb-print-03\MAC_6"
"MH19","\\wlb-print-03\LAB_MH19_1"
"MHLL","\\wlb-print-03\LAB_MH19_1"
"MH123","\\wlb-print-03\LAB_MH123_1"
"MH124","\\wlb-print-03\SPECL_2"
"MH202","\\wlb-print-03\HealthStudies_1"
"MH202","\\HealthStudies_3"
"MH226","\\wlb-print-03\LAB_MH226_1"
"MPCC129","\\mpcc-print-01\PhysAssist_2"
"MPCC129","\\mpcc-print-01\PhysAssist_1"
"MPCC138","\\mpcc-print-01\PsychCounseling_7"
"MPCC138","\\mpcc-print-01\PsychCounseling_5"
"MPCC167","\\mpcc-print-01\SPECL_6"
"MPCC167","\\mpcc-print-01\SPECL_8"
"MPCC168","\\mpcc-print-01\SPECL_8"
"MPCC171","\\mpcc-print-01\SPECL_6"
"JP115","\\wlb-print-03\LAB_JP115_1"
"JP234","\\wlb-print-03\LAB_JP234_1"
"JP234","\\wlb-print-03\LAB_JP234_2"
"1st floor Greek Lounge","\\wlb-print-03\GreekLounge_1"
"2nd Floor Lounge Lab","\\wlb-print-03\LAB_STUCTR_POOLa"
"SC-308","\\wlb-print-03\StudentServices_5"
"SC-309","\\wlb-print-03\StudentServices_10"
"SC-309","\\wlb-print-03\StudentServices_4"
"SC-315","\\wlb-print-03\StudentServices_7"
"SC-317","\\wlb-print-03\StudentServices_7"
"SC-318","\\wlb-print-03\StudentServices_7"
"SC-320","\\wlb-print-03\StudentServices_6"
"SC-333","\\wlb-print-03\Conference_1"
"SC-333","\\wlb-print-03\Conference_2"
"SC-334","\\wlb-print-03\Conference_1"
"SC-334","\\wlb-print-03\Conference_2"
"SW_4Printer","\\wlb-print-03\SocialWork_4"
"CSS","\\wlb-print-03\LAB_CSS_1"
"Disability Services","\\wlb-print-03\LAB_DDS_1"
"Disability Services","\\wlb-print-03\LAB_TestCtr_1"
"Disability Services","\\wlb-print-03\Disability_3"
"Disability Services","\\wlb-print-03\Disability_4"
"DSS Testing Center","\\wlb-print-03\LAB_TestCtr_1"
"DSS Testing Center","\\wlb-print-03\Disability_1"
"DSS Testing Center","\\wlb-print-03\LAB_DDS_1"
"DSS Testing Center","\\wlb-print-03\Disability_3"
"DSS Testing Center","\\wlb-print-03\Disability_4"
"Schedule Print","\\wlb-print-03\firstyear_5"
"FYM","\\wlb-print-03\FirstYear_6"
"Graduate Lounge Basement","\\wlb-print-03\LAB_STUCTR_3"
"Veteran Services","\\wlb-print-03\LAB_VETSERV_1"
"Veteran Services Lounge","\\wlb-print-03\LAB_VetsLounge_1"
"WA016","\\wlb-print-03\English_6"
"WA016","\\wlb-print-03\English_7"
